0.0	0.010	0.100	0.500	1.000	5.000	15.000
10	647100	2809000	2507000	2102000	1220000	796800
40	1103000	2827000	2501000	2098000	1220000	796600
90	1754000	2853000	2491000	2093000	1219000	796400
160	2404000	2881000	2478000	2085000	1218000	796200
250	2890000	2905000	2460000	2076000	1216000	795800
360	3166000	2919000	2440000	2064000	1214000	795400
490	3271000	2918000	2416000	2050000	1212000	794900
640	3262000	2901000	2388000	2035000	1210000	794300
810	3190000	2868000	2358000	2017000	1207000	793700
1000	3086000	2818000	2325000	1998000	1204000	792900
1440	2850000	2684000	2252000	1956000	1197000	791200
1960	2620000	2524000	2172000	1908000	1189000	789300
2250	2514000	2441000	2130000	1883000	1184000	788200
2890	2322000	2279000	2043000	1829000	1174000	785700
3610	2155000	2128000	1955000	1772000	1163000	783000
