0.0	0.0	0.002	0.005	0.01	0.1	0.5	5.0	10.0	20.0
1E-3	0	1.963	4293	76810	1982000	2523000	1496000	1183000	920400
0.016	0	1.982	4299	76840	1982000	2523000	1496000	1183000	920400
0.081	0	2.063	4327	76980	1982000	2523000	1496000	1183000	920400
0.256	0	2.293	4403	77350	1982000	2523000	1496000	1183000	920400
0.625	0	2.818	4568	78150	1983000	2523000	1496000	1183000	920400
1.296	0	3.932	4868	79590	1983000	2523000	1496000	1183000	920400
2.401	0	6.272	5380	81980	1984000	2523000	1496000	1183000	920400
4.096	0	11.33	6207	85680	1985000	2523000	1496000	1183000	920400
6.561	0	22.79	7502	91130	1987000	2522000	1496000	1183000	920400
10	0	50.05	9493	98880	1990000	2522000	1496000	1183000	920400
14.64	0	117.6	12530	109600	1994000	2522000	1496000	1183000	920400
20.74	0	289.9	17160	124100	1999000	2522000	1496000	1183000	920400
28.56	0	466	24180	143400	2005000	2522000	1495000	1183000	920300
38.42	0	1181	34830	168700	2013000	2521000	1495000	1183000	920300
50.63	0	2979	50870	201500	2022000	2521000	1495000	1183000	920300
65.54	0	7350	74770	243600	2034000	2520000	1495000	1183000	920300
83.52	0	17400	109800	296900	2048000	2520000	1495000	1183000	920300
105	0	38920	159900	363500	2064000	2519000	1495000	1183000	920200
130.3	0	80960	229600	445400	2082000	2518000	1495000	1182000	920200
160	0	155000	323300	544500	2103000	2517000	1494000	1182000	920100
194.5	75690	271100	444300	662100	2127000	2516000	1494000	1182000	920100
234.3	292900	432900	593800	798500	2154000	2515000	1494000	1182000	920000
279.8	545600	635000	770500	953100	2183000	2513000	1493000	1182000	920000
331.8	803200	864800	970000	1124000	2215000	2511000	1493000	1182000	919900
390.6	1062000	1109000	1186000	1307000	2250000	2509000	1492000	1181000	919800
457	1322000	1357000	1410000	1499000	2286000	2506000	1492000	1181000	919700
531.4	1580000	1602000	1635000	1694000	2325000	2504000	1491000	1181000	919600
614.7	1827000	1837000	1853000	1886000	2364000	2501000	1490000	1181000	919400
707.3	2057000	2056000	2059000	2070000	2405000	2497000	1490000	1180000	919300
810	2262000	2254000	2247000	2242000	2446000	2493000	1489000	1180000	919100
923.5	2439000	2427000	2413000	2397000	2486000	2489000	1488000	1179000	919000
1049	2588000	2574000	2557000	2533000	2525000	2484000	1487000	1179000	918800
1186	2708000	2694000	2675000	2648000	2562000	2479000	1485000	1178000	918600
1336	2802000	2789000	2770000	2742000	2597000	2473000	1484000	1178000	918300
1501	2872000	2860000	2843000	2815000	2628000	2466000	1483000	1177000	918100
1680	2921000	2910000	2895000	2869000	2655000	2459000	1481000	1177000	917800
1874	2952000	2942000	2928000	2906000	2678000	2450000	1479000	1176000	917500
2085	2966000	2958000	2946000	2926000	2695000	2442000	1478000	1175000	917200
2313	2968000	2961000	2950000	2933000	2707000	2432000	1476000	1174000	916800
2560	2958000	2952000	2943000	2928000	2713000	2421000	1474000	1173000	916400
2826	2939000	2934000	2927000	2914000	2714000	2410000	1471000	1172000	916000
3112	2913000	2909000	2902000	2891000	2708000	2397000	1469000	1171000	915600
3419	2881000	2877000	2871000	2862000	2698000	2383000	1466000	1170000	915100
3748	2843000	2840000	2836000	2828000	2681000	2369000	1464000	1169000	914600
4101	2803000	2800000	2796000	2789000	2660000	2353000	1461000	1168000	914100
