0.0	0.000	0.800	1.500	5.000	10.00	20.000
10.0	138.4	650.8	1379	14700	59600	182900
40.0	14550	26410	37900	98280	177900	306500
100	319800	333200	344800	395600	448200	522500
160	665700	662800	661000	658500	664000	682000
250	884600	881000	877800	863200	846700	826500
360	956000	953900	951900	942000	927400	901000
490	959300	957500	956000	948200	936900	914700
640	922800	921300	920000	913600	904700	887300
810	861400	860300	859400	854900	848300	835900
1000	788600	788000	787500	784600	777500	772300
1440	645400	645400	645400	645400	645400	637400
2000	515500	515500	515500	515500	515500	505300
3500	300000	300000	300000	300000	300000	300000
