0.0	0.0	0.800	1.500	5.000	10.000	20.000
10	138.4	1523	4921	59600	182900	398100
30	4831	18240	34970	135000	266000	455500
50	35540	71890	101700	222700	346000	507700
80	181700	224300	254600	360500	456500	577000
120	455200	467700	479000	529000	582100	654000
200	795300	786700	780500	763600	758500	763800
300	930500	925000	920000	896500	870700	839600
400	962600	958600	955100	936600	911200	870800
500	957900	954300	951200	935800	913900	874700
600	935000	931800	929100	915700	897100	862400
800	865200	863100	861200	852000	839100	814000
1000	788600	787400	786300	780700	772300	754800
1500	628900	628400	627900	625100	621100	614100
2000	506000	505600	505300	504800	505300	508400
3500	300000	300000	300000	300000	300000	300000	
